pickup_month,trips,duration_p50,duration_p95,speed_p50,revenue_total,tip_percent_median,flex_fare_percent,airport_percent,invalid_percent,trips_index,percent_total_year
2021-01-01,1216243.0,12.3125,26.704166666666666,14.360139566967309,19978636.04,10.410101354228772,0.0,0.0,0.0,37.94313784458651,4.3207217858351985
2021-02-01,1220204.0,9.45,27.633333333333333,11.619096350830546,20225383.790000003,16.591928251121075,0.0,2.7318082740462646e-05,0.0,38.06670917778424,4.334793298677363
2021-03-01,1721651.0,9.4,27.55,11.700448184127143,28822671.160000004,12.195121951219514,0.0,0.0,0.0,53.71035328735311,6.116191405257793
2021-04-01,1956883.0,9.083333333333334,29.783333333333335,14.704992435703481,34266941.59,16.59919028340081,0.0,2.655134016085154,0.0,61.048886953288104,6.95185666879936
2021-05-01,2283452.0,10.158333333333333,31.666666666666668,13.560572016063976,41618169.92,16.63449163449163,0.0,13.05459001422801,0.0,71.23686138172779,8.111998016275493
2021-06-01,2594627.0,14.600000000000001,34.43333333333333,14.183061704492896,49009852.750000015,16.63591635916359,0.0,15.143687422501266,0.0,80.94458912921674,9.2174519442383
2021-07-01,2572914.0,11.9,150.49583333333334,13.329383886255924,49747166.46000001,16.666666666666664,0.0,6.144164562827608,0.0,80.2672085794257,9.140316180960863
2021-08-01,2530652.0,11.495833333333334,35.2375,13.53493976319101,49651817.96,16.63449163449163,0.0,13.866457725519812,0.0,78.94876079260357,8.990179782138451
2021-09-01,2682359.0,10.466666666666665,70.92666666666666,11.742396526913979,53723367.900000006,16.638418079096045,0.0,8.21517145768821,0.0,83.6815646919795,9.529121210754033
2021-10-01,3184743.0,11.375,71.375,11.35919480618664,63350291.68000001,13.052393830425867,0.0,7.064923902569051,0.0,99.35444039438005,11.31384802410879
2021-11-01,3205436.0,11.270833333333332,40.44499999999999,12.859024613335958,65176778.01,15.441967166105098,0.0,14.86603833676151,0.0,100.0,11.387360221847471
2021-12-01,2979906.0,11.524999999999999,374.8599999999999,10.208361217794572,61373387.7,18.330439814814813,0.0,7.10090064271217,0.0,92.96413966773943,10.586161461106885
